日期,AQI指数
2015/5/22,69
,
2015/5/23,111
,
2015/5/24,152
,
2015/5/25,164
,
2015/5/26,158
,
2015/5/27,60
,
2015/5/28,67
,
2015/5/29,100
,
2015/5/30,48
,
2015/5/31,67
,
2015/6/1,83
,
2015/6/2,54
,
2015/6/3,50
,
2015/6/4,47
,
2015/6/5,64
,
2015/6/6,87
,
2015/6/7,65
,
2015/6/8,32
,
2015/6/9,46
,
2015/6/10,58
,
2015/6/11,60
,
2015/6/12,69
,
2015/6/13,43
,
2015/6/14,35
,
2015/6/15,50
,
2015/6/16,55
,
2015/6/17,59
,
2015/6/18,55
,
2015/6/19,49
,
2015/6/20,54
,
2015/6/21,51
,
2015/6/22,37
,
2015/6/23,42
,
2015/6/24,40
,
2015/6/25,43
,
2015/6/26,54
,
2015/6/27,58
,
2015/6/28,65
,
2015/6/29,66
,
2015/6/30,63
,
2015/7/1,38
,
2015/7/2,45
,
2015/7/3,46
,
2015/7/4,60
,
2015/7/5,37
,
2015/7/6,33
,
2015/7/7,43
,
2015/7/8,46
,
2015/7/9,45
,
2015/7/10,54
,
2015/7/11,38
,
2015/7/12,51
,
2015/7/13,88
,
2015/7/14,123
,
2015/7/15,106
,
2015/7/16,66
,
2015/7/17,40
,
2015/7/18,51
,
2015/7/19,67
,
2015/7/20,72
,
2015/7/21,50
,
2015/7/22,60
,
2015/7/23,47
,
2015/7/24,34
,
2015/7/25,30
,
2015/7/26,36
,
2015/7/27,43
,
2015/7/28,55
,
2015/7/29,64
,
2015/7/30,48
,
2015/7/31,57
,
2015/8/1,68
,
2015/8/2,78
,
2015/8/3,72
,
2015/8/4,78
,
2015/8/5,85
,
2015/8/6,80
,
2015/8/7,66
,
2015/8/8,48
,
2015/8/9,26
,
2015/8/10,26
,
2015/8/11,29
,
2015/8/12,43
,
2015/8/13,61
,
2015/8/14,48
,
2015/8/15,42
,
2015/8/16,49
,
2015/8/17,67
,
2015/8/18,59
,
2015/8/19,58
,
2015/8/20,37
,
2015/8/21,49
,
2015/8/22,60
,
2015/8/23,56
,
2015/8/24,62
,
2015/8/25,55
,
2015/8/26,79
,
2015/8/27,102
,
2015/8/28,76
,
2015/8/29,67
,
2015/8/30,80
,
2015/8/31,81
,
2015/9/1,82
,
2015/9/2,77
,
2015/9/3,54
,
2015/9/4,39
,
2015/9/5,43
,
2015/9/6,45
,
2015/9/7,62
,
2015/9/8,53
,
2015/9/9,58
,
2015/9/10,67
,
2015/9/11,68
,
2015/9/12,54
,
2015/9/13,52
,
2015/9/14,57
,
2015/9/15,41
,
2015/9/16,52
,
2015/9/17,52
,
2015/9/18,67
,
2015/9/19,42
,
2015/9/20,69
,
2015/9/21,54
,
2015/9/22,62
,
2015/9/23,54
,
2015/9/24,57
,
2015/9/25,42
,
2015/9/26,56
,
2015/9/27,59
,
2015/9/28,79
,
2015/9/29,67
,
